_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_usage,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,used_by_future_students,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"2a68c0296a73dcb868b5d35145935462","5494ce05e4c94d902b7bd98e9f373b5d","41fa80fb66fae6451e950788cdee4867","050804000523",35.156955000000000,-90.170672000000000,"West Memphis",AR,"72301",suburban,"West Memphis School District","Crittenden",false,false,false,false,false,false,Mr.,false,false,Music,Music & The Arts,,,essential,Technology,high,Grades 6-8,7.17,59.15,10.75,35.00,829.05,975.35,100,true,,,false,false,live,2011-04-01,,,2011-08-28
"6deda069442c0700dc6b0508ddc1d1af","f05046decc9a5b5268e77e791bf73746","0f48068148d7b4e5e1094dc8c467b2c2","470294002079",35.200968000000000,-89.802655000000000,"Memphis",TN,"38133",suburban,"Memphis City School District","Shelby",false,false,false,false,false,false,Mrs.,false,false,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,essential,Technology,high,Grades PreK-2,12.00,0.00,7.29,35.00,540.61,636.01,22,true,,,false,false,live,2011-04-01,,,2011-08-28
"423f9abc92e380f551e6fa521d6fe133","b1ca205bd5e1bd5633a934b4af55dce7","f63cc236698b03f54a4afab1e70d573b","120087002702",28.127492000000000,-82.451704000000000,"Lutz",FL,"33549",suburban,"Hillsborough Co Pub Sch Dist","Hillsborough",false,false,false,false,false,false,Mr.,false,false,Literature & Writing,Literacy & Language,,,enrichment,Technology,low,Grades PreK-2,12.00,0.00,1.65,35.00,158.64,186.64,14,true,,,false,false,live,2011-04-01,,,2011-08-28
"254d9879058a782cf701db9c8df0f9cf","3bc95b8cd5861d34372485ccda9eaf2c","3cfdd7c2aa692044a79518dcc029c07d","063348010033",35.371709000000000,-119.160282000000000,"Bakersfield",CA,"93314",rural,"Rosedale Union School District","Kern",false,false,false,false,false,false,Mrs.,false,false,Mathematics,Math & Science,Health & Life Science,Math & Science,essential,Other,low,Grades 3-5,0.00,31.45,5.16,35.00,415.35,488.65,22,true,,,false,false,live,2011-04-01,,,2011-04-29
"ac79fb9dca03a819107458ad28a8c0fb","54f9d78ce21451fc7adc19a5ebb7c496","0653b58d42be26bcbbfc6a6c6c956262","062805012057",37.761269000000000,-122.191759000000000,"Oakland",CA,"94621",urban,"Oakland Unified School Dist","Alameda",false,false,false,false,false,false,Ms.,true,false,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,essential,Books,high,Grades 3-5,0.00,33.18,5.44,35.00,436.22,513.20,22,true,,,false,false,live,2011-04-01,,,2011-08-28
"2268bf51ddeb7826d1c91015e9970d51","dff44e302cc68781e5181d1bf6aa494f","d7b2950b7b15faa2b2b04273589ffc40","360011905703",40.715298000000000,-73.954837000000000,"Brooklyn",NY,"11211",urban,"New Visions for Public Schools","Brooklyn",false,false,false,false,false,false,Mr.,false,false,Literature & Writing,Literacy & Language,College & Career Prep,Applied Learning,essential,Technology,high,Grades 9-12,79.90,0.00,11.98,35.00,925.85,1089.24,30,true,,,false,true,live,2011-04-01,,,2011-08-28
"e2d470602cd7e0092b9bac71899ff480","b0621b2cde163d91d1154c0e3cb51911","1125a004cddb3dfab1aad016369f0721","120087000922",27.988673000000000,-82.465469000000000,"Tampa",FL,"33603",urban,"Hillsborough Co Pub Sch Dist","Hillsborough",false,false,false,false,false,false,Ms.,false,false,Special Needs,Special Needs,,,enrichment,Technology,high,Grades PreK-2,12.00,0.00,8.70,35.00,635.68,747.86,55,true,,,false,false,live,2011-04-01,,,2011-08-28
"06c5da0091bda38f40421f73ee5df648","327cff2f4a064023b4bbaed534213abb","0ac1c7377fe792db880d2a6f2859fdc4","470294001978",35.035077000000000,-89.840782000000000,"Memphis",TN,"38115",urban,"Memphis City School District","Shelby",false,false,false,false,false,false,Mrs.,false,false,Literature & Writing,Literacy & Language,,,essential,Technology,high,Grades 6-8,12.00,0.00,6.00,35.00,452.96,532.89,9,true,,,false,false,live,2011-04-01,,,2011-08-28
"fd0a358865e51e0cd27842d811a30bfd","4dfe31e225a01364c059e9d0c1524842","4965a3a2ec2e85bd2cf0e99156d14b49","",39.866503000000000,-86.473272000000000,"Pittsboro",IN,"46167",suburban,"North West Hendricks Sch Dist","Hendricks",false,false,false,false,false,false,Mrs.,true,false,Environmental Science,Math & Science,Health & Life Science,Math & Science,essential,Technology,low,Grades PreK-2,7.61,0.00,11.41,35.00,815.01,958.84,23,true,,,false,false,live,2011-04-01,,,2011-08-18
"fcc11ce08d970aba30af9b34bef529f8","7e37866f1b09965628ea811c1f972d5a","ca49c06a6c3335c8be99f4a289c7102e","",35.183055735544379,-89.758582638074900,"Cordova",TN,"38016",rural,"Memphis City School District","Shelby",false,false,false,false,false,false,Ms.,false,false,Special Needs,Special Needs,,,enrichment,Technology,high,Grades PreK-2,12.00,0.00,5.86,35.00,443.81,522.13,6,true,,,false,false,live,2011-04-01,,,2011-08-28
"399fb915fdcd0dc9fe47d9062e31a5e5","b7fc7b3a2b525379b158467273748ddd","997f08b3d27086b0b2bc6d45f185721e","540162001157",39.265026000000000,-81.541594000000000,"Parkersburg",WV,"26101",urban,"Wood Co School District","Wood",false,false,false,false,false,false,Mrs.,false,false,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,enrichment,Other,high,Grades 3-5,26.28,0.00,3.94,35.00,328.02,385.91,36,true,,,false,false,live,2011-04-01,,,2011-08-28
"d8798d92fc455ef84922027f06fe2a34","6bfb1a2cff772e5af22b27a98ec9dc0a","5fa863ded626e70c75c9959deb462e1b","470381001567",35.286613000000000,-89.668053000000000,"Arlington",TN,"38002",rural,"Shelby Co School District","Shelby",false,false,false,false,false,false,Ms.,false,false,Literature & Writing,Literacy & Language,Social Sciences,History & Civics,essential,Books,minimal,Grades 3-5,0.00,0.00,5.50,35.00,406.85,478.65,21,true,,,false,false,live,2011-04-01,,,2011-08-28
"b34ab2223315939df6b310e2dced72ea","b324fe9af8eed2133caf35360872a9de","1ed065c031db52a298e9ecb052f7f9e4","403024029789",36.074971000000000,-95.965028000000000,"Tulsa",OK,"74136",urban,"Tulsa Independent Sch Dist","Tulsa",false,false,false,false,false,false,Ms.,true,false,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,enrichment,Technology,high,Grades PreK-2,12.00,24.45,4.50,35.00,375.94,442.28,45,true,,,false,false,live,2011-04-01,,,2011-08-28
"336854f3a09c6a67b458054c0f3ec7a6","9887772d33516e7fc96e79cd1ce681c6","24a0b373367de9f4f84741af302d80df","421899000903",40.029048000000000,-75.122934000000000,"Philadelphia",PA,"19120",urban,"Philadelphia City School Dist","Philadelphia",false,false,false,false,false,false,Ms.,true,false,Literature & Writing,Literacy & Language,,,essential,Books,high,Grades 9-12,0.00,0.00,4.88,35.00,365.16,429.60,18,false,,,true,false,live,2011-04-01,,,2011-06-16
"c360ad4a765217b1f3e70e1c6a520fb9","d896b1cb22061c3845840a437e50d1d5","4cafa3c715be94f2600c5d3111eb5417","064119006814",33.221010000000000,-117.247218000000000,"Vista",CA,"92083",suburban,"Vista Unified School District","San Diego",false,false,true,false,false,false,Ms.,false,false,Mathematics,Math & Science,Literacy,Literacy & Language,essential,Supplies,high,Grades PreK-2,44.69,40.89,6.70,35.00,574.20,675.53,40,false,,,false,false,live,2011-04-01,,,2011-08-28
"65305ad276da8ee9d46509a93593691b","9c686727e1519176c52a826d6fc9b3bf","2c946a9fb4c443cbf0458c2a39639652","",44.949020000000000,-93.158859000000000,"Saint Paul",MN,"55104",urban,"St Paul Independent SD 625","Ramsey",true,false,false,false,false,false,Mr.,true,false,Character Education,Applied Learning,,,essential,Supplies,high,Grades 6-8,1.73,0.00,2.59,35.00,212.02,249.44,55,true,,,true,false,live,2011-04-01,,,2011-04-29
"96d3023ab908cb8a449cecaa850eb7d0","f6b85d89a23d077d29c4be88a0579e9c","ca49c06a6c3335c8be99f4a289c7102e","",35.183055735544379,-89.758582638074900,"Cordova",TN,"38016",rural,"Memphis City School District","Shelby",false,false,false,false,false,false,Mrs.,false,false,Mathematics,Math & Science,Literacy,Literacy & Language,enrichment,Technology,high,Grades PreK-2,12.00,0.00,5.74,35.00,435.71,512.60,19,true,,,false,false,live,2011-04-01,,,2011-08-28
"8747a36e19a9a49bd13b094a944c2474","0a2ab5839743c7345d07e3650377f965","45a418c1b5e235857f88f2dda6fb2189","120087004353",28.156909000000000,-82.319557000000000,"Tampa",FL,"33647",urban,"Hillsborough Co Pub Sch Dist","Hillsborough",false,false,false,false,false,false,Ms.,false,false,Health & Life Science,Math & Science,Environmental Science,Math & Science,essential,Technology,low,Grades 3-5,0.00,0.00,6.95,35.00,505.45,594.65,44,true,,,false,false,live,2011-04-01,,,2011-06-10
"38a49043786c8f096d447324e71950db","15933ea3233b0d4419c85257fcf56559","a80d04ba96a167311e71a0bba8545acd","120087002562",27.893815000000000,-82.255426000000000,"Valrico",FL,"33596",rural,"Hillsborough Co Pub Sch Dist","Hillsborough",false,false,false,false,false,false,Mrs.,false,false,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,essential,Technology,high,Grades 9-12,39.50,0.00,5.92,35.00,475.42,559.32,160,true,,,false,true,live,2011-04-01,,,2011-08-28
